White,Bossier City,Southeast,FBI,Gunshot,yes
White,San Diego,West,San Diego Police Department,Gunshot,yes
Black,New York,Northeast,New York Police Department,Gunshot,No
White,Powder Springs,Southeast,Cobb County Sheriff s Office,Gunshot,No
Black,Tulsa,Southwest,Tulsa County Sheriff s Office,Gunshot,yes
White,Tallahassee,Southeast,Tallahassee Police Department,Gunshot,yes
White,Iuka,Southeast,Iuka Police Department,Gunshot,No
Black,Baton Rouge,Southeast,US Marshals Service,Gunshot,yes
Black,Lauderhill,Southeast,Lauderhill Police Department,Gunshot,No
White,Salemburg,West,Salem Police Department,Gunshot,yes
White,St Paul,Midwest,St Paul Police Department,Gunshot,yes
Hispanic/Latino,Wilmington,West,Los Angeles Police Department,Gunshot,yes
Hispanic/Latino,El Paso,Southwest,El Paso Police Department,Gunshot,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,yes
White,Provo,West,Provo Police Department,Gunshot,yes
White,Vallejo,West,Vallejo Police Department,Gunshot,yes
Hispanic/Latino,Tahoka,Southwest,Lynn County Sheriff s Office,Gunshot,yes
Hispanic/Latino,San Francisco,West,San Francisco Police Department,Gunshot,yes
Hispanic/Latino,El Paso,Southwest,El Paso Police Department,Gunshot,yes
White,Columbus,Midwest,Columbus Division of Police,Gunshot,Unknown
Unknown,Mabank,Southwest,Texas Rangers/ ATF,Gunshot,yes
White,Calimesa,West,Riverside County Sheriff s Department,Gunshot,yes
Black,Huntsville,Southeast,Huntsville Police Department,Gunshot,yes
White,San Bernadino,West,San Bernardino Police Department,Gunshot,yes
White,Nashville,Southeast,Nashville Metropolitan Police Department,Gunshot,yes
White,Waikoloa Village,West,Hawaii Police Department,Struck by vehicle,yes
Black,San Jose,West,San Jose Police Department,Gunshot,yes
Unknown,Austin,Southwest,Austin Police Department,Gunshot,yes
Black,Detroit,Midwest,Detroit Police Department,Gunshot,No
White,Forth Worth,Southwest,Fort Worth Police Department,Gunshot,Unknown
White,Des Moines,Midwest,Des Moines Police Department,Gunshot,yes
Black,Portsmouth,Southeast,Portsmouth Police Department,Gunshot,yes
Hispanic/Latino,Las Vegas,West,North Las Vegas Police Department,Gunshot,No
Black,Valdosta,Southeast,Lowndes County Sheriff s Office,Gunshot,yes
White,Chatham,Northeast,Chatham Police Department,Struck by vehicle,Unknown
White,Middleton,West,Canyon County Sheriff s Office,Gunshot,yes
Black,Culpeper,Southeast,Culpeper Police Department,Taser,yes
Hispanic/Latino,Bakersfield,West,Bakersfield Police Department,Gunshot,yes
Hispanic/Latino,Elk Grove,West,California Department of Fish and Wildlife,Gunshot,yes
White,Sumas,West,US Border Patrol,Gunshot,yes
White,Bay Minette,Southeast,Baldwin County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Los Angeles,West,Los Angeles Police Department,Gunshot,yes
White,Chino,West,Corona Police Department,Gunshot,No
Hispanic/Latino,Euless,Southwest,Grapevine Police Department,Gunshot,yes
White,Gunlock,Southeast,Magoffin County Sheriff s Office and Kentucky State Police,Gunshot,yes
Black,Union,Northeast,New Jersey State Police,Gunshot,yes
Black,Sierra Blanca,Southwest,US Border Patrol,Gunshot,yes
Black,Lyndhurst,Northeast,Lyndhurst Police Department,Gunshot,yes
White,Peebles,Midwest,Pike County Sheriff s Department,Gunshot,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Taser,yes
Black,Antioch,West,Contra Costa Sheriff s Office,Gunshot,yes
Black,Chamblee,Southeast,DeKalb County Sheriff s Department,Gunshot,No
White,Tallulah,Southeast,Louisiana State Troopers,Struck by vehicle,yes
White,Omaha,Midwest,Omaha Police Department,Gunshot,yes
White,Nocona,Southwest,Nocona Police Department,Gunshot,yes
Black,Tallahassee,Southeast,Tallahassee Police Department,Gunshot,yes
Hispanic/Latino,Key Largo,Southeast,Monroe County Sheriff s Office,Unknown,yes
Hispanic/Latino,Anchorage,West,Anchorage Police Department,Gunshot,yes
White,Stockton,West,Stockton Police Department,Gunshot,yes
Hispanic/Latino,Rio Linda,West,California Highway Patrol,Gunshot,yes
Black,Atlanta,Southeast,Smyrna Police Department,Gunshot,yes
Hispanic/Latino,Wasco,West,Kern County Sheriff s Office,Gunshot,yes
White,Peoria ,Southwest,Glendale Police Department,Gunshot,yes
White,Columbia,Southeast,Lexington County Sheriff s Office,Gunshot,No
Black,New Orleans,Southeast,New Orleans Police Department,Gunshot,yes
White,Cottonwood,Southwest,Cottonwood Police Department,Gunshot,yes
White,Eaton Rapids Township,Midwest,Eaton County Sheriff s Office,Gunshot,yes
White,Tulsa,Southwest,Tulsa Police Department,Struck by vehicle,yes
White,Sidney,Midwest,Sidney Police Department,Gunshot,yes
White,Webster,Northeast,Webster Police Department,Gunshot,No
Black,Anaheim,West,Anaheim Police Department,Gunshot,yes
White,Assaria,Midwest,Saline County Sheriff s Office,Gunshot,yes
White,Hanford,West,Kings County Sheriff s Office,Gunshot,yes
White,Rufe,Southwest,Choctaw County Sheriff s Office and Hugo Police Department,Gunshot,yes
White,Grants Pass,West,Oregon State Police,Gunshot,yes
Hispanic/Latino,Lakewood,West,Lakewood Police Department,Gunshot,yes
White,Medford,West,Medford Police Department,Gunshot,yes
Black,Rochester,Northeast,Rochester Police Department,Taser,yes
White,Omaha,Midwest,Omaha Police Department,Gunshot,yes
Black,Los Angeles,West,Los Angeles Police Department,Gunshot,yes
White,Metropolis,Midwest,Metropolis Police Department,Gunshot,yes
White,Garden Grove,West,Fountain Valley Police Department,Gunshot,yes
Black,Houston,Southwest,Harris County Sheriff s Office,Gunshot,No
Black,Tulsa,Southwest,Department of Veteran Affairs,Gunshot,yes
Black,Putnam Hall,Southeast,Putnam County Sheriff s Office,Gunshot,yes
White,Moultrie,Southeast,Worth County Sheriff s Office,Gunshot,yes
Asian/Pacific Islander,Stockton,West,Stockton Police Department,Gunshot,yes
White,Sebastopol,West,Sonoma County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,yes
White,Allentown,Northeast,Catasauqua Police Department,Gunshot,yes
White,Memphis,Southeast,Memphis Police Department,Gunshot,yes
Black,Spokane,West,Spokane Police Department,Death in custody,No
Black,Elkton,Southeast,Cecil County Sheriff s Office,Gunshot,yes
Black,Elizabethtown,Southeast,Elizabethtown Police Department,Gunshot,yes
White,Constantania,Northeast,Oswego County Sheriff s Department,Gunshot,No
Hispanic/Latino,Roma,Southwest,US Border Patrol,Gunshot,yes
White,St Augustine,Southeast,St Johns County Sheriff s Office,Gunshot,yes
White,Kennewick,West,Kennewick Police Department/Tri-City Swat Team,Gunshot,yes
White,Orlando,Southeast,Orange County Sheriff s Office,Gunshot,yes
Black,Landover,Southeast,Prince George s County Sheriff s Office,Gunshot,yes
Black,Emporia,Southeast,Greensville County Sheriff s Office and Virginia State Police,Gunshot,yes
White,Denham Springs,Southeast,Denham Springs Police Department,Gunshot,yes
White,Boulder City,West,Boulder City Police Department,Gunshot,No
White,Reading,Northeast,Pennsylvania State Police,Gunshot,yes
Black,Vineland,Northeast,Vineland Police Department,Death in custody,yes
